"pais";"alpha.2";"Location"
"Argentina";"AR";"LIMA"
"Argentina";"AR";"EMBALSE"
"Armenia";"AM";"METSAMOR"
"Belgium";"BE";"MOL"
"Belgium";"BE";"DOEL-BEVEREN"
"Belgium";"BE";"TIHANGE"
"Brazil";"BR";"ANGRA DOS-REIS"
"Bulgaria";"BG";"VRATZA"
"Canada";"CA";"TIVERTON"
"Canada";"CA";"TOWN OF NEWCASTLE"
"Canada";"CA";"BECANCOUR"
"Canada";"CA";"ROLPHTON"
"Canada";"CA";"PICKERING"
"Canada";"CA";"SAINT JOHN"
"China";"CN";"SHENZHEN CITY"
"China";"CN";"Jiaxing"
"China";"CN";"Yangjiang"
"China";"CN";"SHENZEN"
"China";"CN";"Lianyungang"
"China";"CN";"Taizhou"
"China";"CN";"DALIAN"
"China";"CN";"Haiyang"
"China";"CN";"Fuqing"
"China";"CN";"Taishan"
"China";"CN";"Ningde"
"China";"CN";"Changjiang"
"China";"CN";"Fangchenggang"
"China";"CN";"Tuoli"
"Czech Republic";NA;"DUKOVANY"
"Czech Republic";NA;"TEMELIN"
"Finland";"FI";"LOVIISA"
"Finland";"FI";"OLKILUOTO"
"France";"FR";"LERE"
"France";"FR";"BRAUD ST.LOUIS"
"France";"FR";"ST.VULBAS"
"France";"FR";"CATTENOM"
"France";"FR";"AVOINE"
"France";"FR";"CHOOZ"
"France";"FR";"CIVAUX"
"France";"FR";"CREYS-MALVILLE"
"France";"FR";"CRUAS"
"France";"FR";"DAMPIERRE-EN-BURLY"
"France";"FR";"FESSENHEIM"
"France";"FR";"FLAMANVILLE"
"France";"FR";"GOLFECH"
"France";"FR";"GRAVELINES"
"France";"FR";"MARCOULE"
"France";"FR";"BRENNILIS"
"France";"FR";"NOGENT-SUR-SEINE"
"France";"FR";"PALUEL"
"France";"FR";"PENLY"
"France";"FR";"SAINT-MAURICE-L'EXIL"
"France";"FR";"ST. LAURENT DES EAUX"
"France";"FR";"PIERRELATTE"
"Germany";"DE";"JUELICH"
"Germany";"DE";"BIBLIS"
"Germany";"DE";"OSTERENDE"
"Germany";"DE";"BRUNSBUETTEL"
"Germany";"DE";"LINGEN (EMS)"
"Germany";"DE";"SCHWEINFURT"
"Germany";"DE";"GREIFSWALD"
"Germany";"DE";"GROHNDE"
"Germany";"DE";"GUNDREMMINGEN"
"Germany";"DE";"KARLSTEIN"
"Germany";"DE";"ESSENBACH"
"Germany";"DE";"EGGENSTEIN"
"Germany";"DE";"GEESTHACHT"
"Germany";"DE";"LINGEN"
"Germany";"DE";"MULHEIM-KAERLICH"
"Germany";"DE";"KARLSRUHE"
"Germany";"DE";"NECKARWESTHEIM"
"Germany";"DE";"OBRIGHEIM"
"Germany";"DE";"PHILIPPSBURG"
"Germany";"DE";"GRANSEE"
"Germany";"DE";"STADE"
"Germany";"DE";"HAMM-UENTROP"
"Germany";"DE";"STADLAND"
"Germany";"DE";"KAHL"
"Germany";"DE";"WUERGASSEN"
"Hungary";"HU";"PAKS"
"India";"IN";"KAIGA"
"India";"IN";"SURAT"
"India";"IN";"MADRAS"
"India";"IN";"NARORA"
"India";"IN";"KOTA"
