"pais";"Location";"alpha.2";"lng";"lat"
"Argentina";"LIMA";"AR";"-59.19659";"-34.04468"
"Argentina";"EMBALSE";"AR";"-64.41809";"-32.18"
"Armenia";"METSAMOR";"AM";"44.1167";"40.14447"
"Belgium";"MOL";"BE";"5.11662";"51.19188"
"Belgium";"DOEL-BEVEREN";"BE";"4.26417";"51.311"
"Belgium";"TIHANGE";"BE";"5.26176";"50.52974"
"Brazil";"ANGRA DOS-REIS";"BR";"-44.31806";"-23.00667"
"Bulgaria";"VRATZA";"BG";"23.5625";"43.21"
"Canada";"TIVERTON";"CA";"-81.54146";"44.26679"
"Canada";"TOWN OF NEWCASTLE";"CA";NA;NA
"Canada";"BECANCOUR";"CA";"-72.43224";"46.34106"
"Canada";"ROLPHTON";"CA";"-77.69351";"46.17323"
"Canada";"PICKERING";"CA";"-79.13289";"43.90012"
"Canada";"SAINT JOHN";"CA";"-52.70931";"47.56494"
"China";"SHENZHEN CITY";"CN";"10282876";NA
"China";"Jiaxing";"CN";"120.75";"30.7522"
"China";"Yangjiang";"CN";"111.96272";"21.85563"
"China";"SHENZEN";"CN";"114.1111";"22.53737"
"China";"Lianyungang";"CN";"118.87344";"34.56743"
"China";"Taizhou";"CN";"119.90812";"32.49069"
"China";"DALIAN";"CN";"121.60222";"38.91222"
"China";"Haiyang";"CN";"121.15972";"36.77667"
"China";"Fuqing";"CN";"119.37944";"25.725"
"China";"Taishan";"CN";"112.7799";"22.25135"
"China";"Ningde";"CN";"119.52278";"26.66167"
"China";"Changjiang";"CN";"109.04275";"19.19436"
"China";"Fangchenggang";"CN";"107.95932";"21.9358"
"China";"Tuoli";"CN";"116.02706";"39.77175"
"Czech Republic";"DUKOVANY";"CZ";"16.19218";"49.08125"
"Czech Republic";"TEMELIN";"CZ";"14.38123";"49.17822"
"Finland";"LOVIISA";"FI";"26.22505";"60.45659"
"Finland";"OLKILUOTO";"FI";"21.48325";"61.23609"
"France";"LERE";"FR";"-1.55336";"47.21725"
"France";"BRAUD ST.LOUIS";"FR";"-0.62438";"45.24703"
"France";"ST.VULBAS";"FR";"5.2903";"45.83136"
"France";"CATTENOM";"FR";"6.24297";"49.40627"
"France";"AVOINE";"FR";"0.18253";"47.20533"
"France";"CHOOZ";"FR";"4.80793";"50.10307"
"France";"CIVAUX";"FR";"0.66581";"46.4443"
"France";"CREYS-MALVILLE";"FR";"5.47222";"45.75833"
"France";"CRUAS";"FR";"4.76293";"44.65706"
"France";"DAMPIERRE-EN-BURLY";"FR";"2.51962";"47.76143"
"France";"FESSENHEIM";"FR";"7.53499";"47.91565"
"France";"FLAMANVILLE";"FR";"-1.8656";"49.53274"
"France";"GOLFECH";"FR";"0.85275";"44.11444"
